"Table 1.2 Occupational projections, 2023–33, and worker characteristics, 2023 (Numbers in thousands)",,,,,,,,,,,,,,,
2023 National Employment Matrix title,2023 National Employment Matrix code,Occupation type,"Employment, 2023","Employment, 2033","Employment distribution, percent, 2023","Employment distribution, percent, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Percent self employed, 2023","Occupational openings, 2023–33 annual average","Median annual wage, dollars, 2023[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content
"Total, all occupations",00-0000,Summary,"167,849.8","174,589.0",100.0,100.0,"6,739.2",4.0,5.8,"19,174.8","48,060",—,—,—,—
  Management occupations,11-0000,Summary,"13,181.3","14,140.9",7.9,8.1,959.6,7.3,15.1,"1,160.0","116,880",—,—,—,—
    Top executives,11-1000,Summary,"3,977.7","4,206.7",2.4,2.4,229.0,5.8,2.7,346.5,"103,460",—,—,—,—
      Chief executives,11-1011,Line item,313.9,331.1,0.2,0.2,17.2,5.5,28.1,23.0,"206,680",Bachelor's degree,5 years or more,None,OOH Content
      General and operations managers,11-1021,Line item,"3,630.1","3,840.5",2.2,2.2,210.4,5.8,0.5,320.8,"101,280",Bachelor's degree,5 years or more,None,OOH Content
      Legislators,11-1031,Line item,33.7,35.0,0.0,0.0,1.4,4.1,—,2.7,"47,290",Bachelor's degree,Less than 5 years,None,—
"    Advertising, marketing, promotions, public relations, and sales managers",11-2000,Summary,"1,112.6","1,185.7",0.7,0.7,73.1,6.6,1.3,94.1,"139,850",—,—,—,—
      Advertising and promotions managers,11-2011,Line item,22.2,21.7,0.0,0.0,-0.6,-2.6,6.2,1.8,"131,870",Bachelor's degree,Less than 5 years,None,OOH Content
      Marketing and sales managers,11-2020,Summary,973.8,"1,039.8",0.6,0.6,66.0,6.8,1.3,83.4,"141,780",—,—,—,—
        Marketing managers,11-2021,Line item,389.1,420.8,0.2,0.2,31.7,8.2,3.2,34.8,"157,620",Bachelor's degree,5 years or more,None,OOH Content
        Sales managers,11-2022,Line item,584.8,619.1,0.3,0.4,34.3,5.9,0.1,48.6,"135,160",Bachelor's degree,Less than 5 years,None,OOH Content
      Public relations and fundraising managers,11-2030,Summary,116.6,124.2,0.1,0.1,7.7,6.6,—,8.9,"130,480",—,—,—,—
        Public relations managers,11-2032,Line item,78.4,83.8,0.0,0.0,5.4,6.9,—,6.0,"134,760",Bachelor's degree,5 years or more,None,OOH Content
        Fundraising managers,11-2033,Line item,38.2,40.5,0.0,0.0,2.3,5.9,—,2.9,"119,200",Bachelor's degree,5 years or more,None,OOH Content
    Operations specialties managers,11-3000,Summary,"2,642.4","2,957.8",1.6,1.7,315.5,11.9,1.6,230.6,"136,170",—,—,—,—
      Administrative services and facilities managers,11-3010,Summary,397.3,420.8,0.2,0.2,23.4,5.9,0.3,35.2,"104,900",—,—,—,—
        Administrative services managers,11-3012,Line item,256.8,272.8,0.2,0.2,16.0,6.2,—,22.7,"106,470",Bachelor's degree,Less than 5 years,None,OOH Content
        Facilities managers,11-3013,Line item,140.5,147.9,0.1,0.1,7.4,5.3,0.7,12.5,"102,340",Bachelor's degree,Less than 5 years,None,OOH Content
      Computer and information systems managers,11-3021,Line item,613.5,720.4,0.4,0.4,106.9,17.4,1.0,54.7,"169,510",Bachelor's degree,5 years or more,None,OOH Content
      Financial managers,11-3031,Line item,837.1,975.3,0.5,0.6,138.3,16.5,2.4,75.1,"156,100",Bachelor's degree,5 years or more,None,OOH Content
      Industrial production managers,11-3051,Line item,230.1,236.7,0.1,0.1,6.5,2.8,1.4,17.1,"116,970",Bachelor's degree,5 years or more,None,OOH Content
      Purchasing managers,11-3061,Line item,81.3,85.4,0.0,0.0,4.1,5.1,3.8,6.5,"136,380",Bachelor's degree,5 years or more,None,OOH Content
"      Transportation, storage, and distribution managers",11-3071,Line item,211.8,230.8,0.1,0.1,19.1,9.0,3.7,19.7,"99,200",High school diploma or equivalent,5 years or more,None,OOH Content
      Compensation and benefits managers,11-3111,Line item,19.1,19.5,0.0,0.0,0.4,2.1,—,1.3,"136,380",Bachelor's degree,5 years or more,None,OOH Content
      Human resources managers,11-3121,Line item,208.9,222.5,0.1,0.1,13.5,6.5,1.1,17.4,"136,350",Bachelor's degree,5 years or more,None,OOH Content
      Training and development managers,11-3131,Line item,43.2,46.4,0.0,0.0,3.2,7.3,—,3.6,"125,040",Bachelor's degree,5 years or more,None,OOH Content
    Other management occupations,11-9000,Summary,"5,448.6","5,790.7",3.2,3.3,342.1,6.3,33.5,488.7,"102,510",—,—,—,—
"      Farmers, ranchers, and other agricultural managers",11-9013,Line item,856.6,842.9,0.5,0.5,-13.8,-1.6,65.2,88.5,"83,770",High school diploma or equivalent,5 years or more,None,OOH Content
      Construction managers,11-9021,Line item,520.9,568.5,0.3,0.3,47.6,9.1,35.8,45.8,"104,900",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
      Education and childcare administrators,11-9030,Summary,671.6,676.0,0.4,0.4,4.3,0.6,2.6,45.2,"99,940",—,—,—,—
"        Education and childcare administrators, preschool and daycare",11-9031,Line item,80.9,79.2,0.0,0.0,-1.7,-2.1,5.9,5.1,"54,290",Bachelor's degree,Less than 5 years,None,OOH Content
"        Education administrators, kindergarten through secondary",11-9032,Line item,316.6,315.0,0.2,0.2,-1.6,-0.5,1.4,20.8,"103,460",Master's degree,5 years or more,None,OOH Content
"        Education administrators, postsecondary",11-9033,Line item,216.4,222.7,0.1,0.1,6.2,2.9,2.7,15.2,"102,610",Master's degree,Less than 5 years,None,OOH Content
"        Education administrators, all other",11-9039,Line item,57.7,59.1,0.0,0.0,1.4,2.5,4.3,4.0,"88,460",Bachelor's degree,Less than 5 years,None,—
      Architectural and engineering managers,11-9041,Line item,210.2,221.8,0.1,0.1,11.6,5.5,—,15.0,"165,370",Bachelor's degree,5 years or more,None,OOH Content
      Food service managers,11-9051,Line item,393.6,399.5,0.2,0.2,5.9,1.5,36.4,44.5,"63,060",High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,OOH Content
      Entertainment and recreation managers,11-9070,Summary,41.1,45.2,0.0,0.0,4.1,10.1,11.2,5.4,"75,210",—,—,—,—
        Gambling managers,11-9071,Line item,5.3,5.5,0.0,0.0,0.3,5.1,9.5,0.7,"82,380",High school diploma or equivalent,Less than 5 years,None,OOH Content
"        Entertainment and recreation managers, except gambling",11-9072,Line item,35.8,39.7,0.0,0.0,3.9,10.8,11.4,4.8,"73,460",Bachelor's degree,Less than 5 years,None,OOH Content
      Lodging managers,11-9081,Line item,53.3,58.6,0.0,0.0,5.3,9.9,18.7,6.0,"65,360",High school diploma or equivalent,Less than 5 years,None,OOH Content
      Medical and health services managers,11-9111,Line item,562.7,723.3,0.3,0.4,160.6,28.5,5.1,61.4,"110,680",Bachelor's degree,Less than 5 years,None,OOH Content
      Natural sciences managers,11-9121,Line item,100.1,107.6,0.1,0.1,7.5,7.5,—,8.3,"157,740",Bachelor's degree,5 years or more,None,OOH Content
      Postmasters and mail superintendents,11-9131,Line item,13.2,12.8,0.0,0.0,-0.4,-3.0,—,0.9,"88,670",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,—
"      Property, real estate, and community association managers",11-9141,Line item,467.1,482.2,0.3,0.3,15.1,3.2,37.4,37.8,"62,850",High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,OOH Content
      Social and community service managers,11-9151,Line item,199.5,215.9,0.1,0.1,16.4,8.2,7.2,17.8,"77,030",Bachelor's degree,Less than 5 years,None,OOH Content
      Emergency management directors,11-9161,Line item,12.4,12.9,0.0,0.0,0.5,4.0,—,1.0,"83,960",Bachelor's degree,5 years or more,None,OOH Content
      Personal service managers,11-9170,Summary,63.7,67.2,0.0,0.0,3.5,5.6,57.5,5.2,"64,520",—,—,—,—
        Funeral home managers,11-9171,Line item,35.8,37.4,0.0,0.0,1.6,4.5,58.3,2.9,"75,660",Associate's degree,Less than 5 years,None,OOH Content
"        Personal service managers, all other",11-9179,Line item,27.9,29.8,0.0,0.0,1.9,6.9,56.5,2.3,"57,570",High school diploma or equivalent,Less than 5 years,None,—
"      Managers, all other",11-9199,Line item,"1,282.5","1,356.2",0.8,0.8,73.7,5.7,50.5,105.8,"133,560",Bachelor's degree,Less than 5 years,None,—
  Business and financial operations occupations,13-0000,Summary,"10,977.2","11,738.5",6.5,6.7,761.3,6.9,4.1,963.5,"79,050",—,—,—,—
    Business operations specialists,13-1000,Summary,"7,643.7","8,189.7",4.6,4.7,546.0,7.1,3.7,694.1,"78,500",—,—,—,—
"      Agents and business managers of artists, performers, and athletes",13-1011,Line item,18.6,20.4,0.0,0.0,1.7,9.2,33.6,2.1,"84,900",Bachelor's degree,Less than 5 years,None,—
      Buyers and purchasing agents,13-1020,Line item,524.1,561.4,0.3,0.3,37.2,7.1,6.3,54.7,"71,950",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
"      Claims adjusters, appraisers, examiners, and investigators",13-1030,Summary,355.6,339.5,0.2,0.2,-16.2,-4.6,3.0,21.5,"75,020",—,—,—,—
"        Claims adjusters, examiners, and investigators",13-1031,Line item,345.2,330.0,0.2,0.2,-15.2,-4.4,3.0,20.9,"75,050",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
"        Insurance appraisers, auto damage",13-1032,Line item,10.5,9.5,0.0,0.0,-1.0,-9.2,3.6,0.6,"74,520",Postsecondary nondegree award,None,Moderate-term on-the-job training,OOH Content
      Compliance officers,13-1041,Line item,403.9,425.8,0.2,0.2,21.9,5.4,0.6,34.4,"75,670",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
      Cost estimators,13-1051,Line item,227.9,219.6,0.1,0.1,-8.3,-3.6,1.3,18.0,"74,740",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
